clean_text,sentiment,confidence
last week christmas means holiday shopping season quickly wrapping mind recapping best lastminute deals find online week warned guaranteed delivery december last week christmas means holiday shopping season quickly wrapping mind recapping best lastminute deals find online chars,neutral,0.6
sports cars earned fame performance massive global sales ford mustang mazda miata porsche cars fast others famous claim spot list bestselling sports cars time timeless american muscle lighthearted japanese icons cars chars,positive,0.8
brusselslondonstockholm dec european commission expected tuesday reverse eus effective ban sales new combustionengine brusselslondonstockholm dec reuters european commission expected tuesday reverse eus effective ban sales new combustionengine cars bowing intense pres chars,negative,0.7
since sales gms combustionpowered blazer steady decline even allelectric blazer bit niche seller days although chevy needs true offroad blazer since sales gms combustionpowered blazer steady decline even allelectric blazer bit niche seller days alth chars,negative,0.7
national retail federation nrf reported retail sales november increased yearoveryear nrf chief economist executive way knowing much spending accounted top third decile even americans income yeah weve weve actually working uh partners uh chars,positive,0.7
washington dec reuters pentagon said wednesday lockheed martin given contract involving foreign military sales taiwan meet kanishka singh washington dec reuters pentagon said wednesday lockheed martin given contract involving foreign military sales taiwan meet washington calls chars,neutral,0.8
eight arms sales agreements announced wednesday cover highmobility artillery rocket systems himars army tactical missile systems eight arms sales agreements announced wednesday cover highmobility artillery rocket systems himars army tactical missile systems atacms similar us prov chars,neutral,0.8
beijing imposed sanctions friday us defenserelated companies executives week washington annoucned largescale arms sales beijing ap beijing imposed sanctions friday us defenserelated companies executives week washington annoucned largescale arms sales taiwan sanctions entail chars,negative,0.8
toyota tacoma midsize pickup truck stellar sales year heres many american drivers picking tacoma instead rivals japanese automaker toyota produces popular nameplates america including models like toyota rav toyota camry pickup trucks may first vehicle class people chars,positive,0.8
beauty industry struggled balance retail stores digital sales market brickandmortar locations essential beauty industry struggled balance retail stores digital sales market brickandmortar locations essential original sale example w chars,neutral,0.6
trump administration announced massive package arms sales taiwan valued billion includes mediumrange missiles washington ap trump administration announced massive package arms sales taiwan valued billion includes mediumrange missiles howitzers drones move chars,neutral,0.6
beijing imposed sanctions friday us defenserelated companies executives week washington annoucned largescale arms sales beijing ap beijing imposed sanctions friday us defenserelated companies executives week washington annoucned largescale arms sales taiwan sanctions entail chars,negative,0.8
us retail sales remain largely unchanged month october according latest data us department commerce figures rose market trying make sense meantime brooke seeing stocks kind initially went higher seeing go little lower stands yo chars,neutral,0.6
mercedesamg g carrying sales price disappeared somewhere new york dealership nevada driveway mercedesamg g carrying sales price disappeared somewhere new york dealership nevada driveway legal battles auto world involve dr chars,negative,0.7
get ready sleek phones companies compete attention dollars ive observed interesting disconnect year every mobile event biggest crowds swarm around slimmest phones apples iphone air samsungs galaxy edge pull one chars,positive,0.7
late early one could participate variety mostly novel hobbies asked whatif reading watching science fiction especially star trek reading wr late early one could participate variety mostly novel hobbies asked whatif reading watching science fiction especially star trek reading writin chars,neutral,0.7
auto industry reality set automakers buyers resetting expectations plans electric vehicle market us large companies made quick decisions cut slowselling much chars,neutral,0.6
